question_number,subject,topic,type,question_text,option_a,option_b,option_c,option_d,correct_option,correct_answer,answer_tolerance,difficulty,exam_year,marks,tags,theory_title,theory_text,needs_review,review_reason
57,Computer Science,Operating System,nat,"Consider the following two-dimensional array D in the C programming language, which is stored in row-major order: int D[128][128]; Demand paging is used for allocating memory and each physical page frame holds 512 elements of the array D. The Least Recently Used (LRU) page-replacement policy is used by the operating system. A total of 30 physical page frames are allocated to a process which executes the following code snippet: for (int i = 0; i < 128; i++) for (int j = 0; j < 128; j++) D[j][i] *= 10; The number of page faults generated during the execution of this code snippet is",,,,,,4096.0,0.0,Hard,2023,2,PYQ;GATE 2023,,,yes,topic_low_confidence
58,Computer Science,Operating System,nat,Consider a computer system with 57-bit virtual addressing using multi-level tree-structured page tables with L levels for virtual to physical address translation. The page size is 4 KB (1 KB = 1024 B) and a page table entry at any of the levels occupies 8 bytes. The value of L is,,,,,,5.0,0.0,Medium,2023,2,PYQ;GATE 2023,,,,
59,Computer Science,Programming and Data Structures,nat,"Consider a sequence a of elements a0 = 1, a1 = 5, a2 = 7, a3 = 8, a4 = 9, and a5 = 2. The following operations are performed on a stack S and a queue Q, both of which are initially empty. I: push the elements of a from a0 to a5 in that order into S. II: enqueue the elements of a from a0 to a5 in that order into Q. III: pop an element from S. IV: dequeue an element from Q. V: pop an element from S. VI: dequeue an element from Q. VII: dequeue an element from Q and push the same element into S. VIII: Repeat operation VII three times. IX: pop an element from S. X: pop an element from S. The top element of S after executing the above operations is",,,,,,8.0,0.0,Medium,2023,2,PYQ;GATE 2023,,,,
60,Computer Science,Compiler Design,nat,"Consider the syntax directed translation given by the following grammar and semantic rules. Here N , I, F and B are non-terminals. N is the starting non-terminal, and #, 0 and 1 are lexical tokens corresponding to input letters “#”, “0” and “1”, respectively. X.val denotes the synthesized attribute (a numeric value) associated with a non-terminal X. I1 and F1 denote occurrences of I and F on the right hand side of a production, respectively. For the tokens 0 and 1, 0.val = 0 and 1.val = 1. N I I F F B B → → → → → → → I #F I1 B B B F1 B 0 1 N.val = I.val + F.val I.val = (2 I1 .val ) + B.val I.val = B.val F.val = 12 (B.val + F1 .val ) F.val = 12 B.val B.val = 0.val B.val = 1.val The value computed by the translation scheme for the input string 10#011 is . (Rounded oﬀ to three decimal places)",,,,,,2.375,0.0009999999999998899,Hard,2023,2,PYQ;GATE 2023,,,,
61,Computer Science,Databases,nat,Consider the following table named Student in a relational database. The primary key of this table is rollNum. Student rollNum 1 2 3 4 5 name Naman Aliya Aliya James Swati gender M F F M F marks 62 70 80 82 65 The SQL query below is executed on this database. SELECT * FROM Student WHERE gender = ‘F’ AND marks > 65; The number of rows returned by the query is,,,,,,2.0,0.0,Medium,2023,2,PYQ;GATE 2023,,,,
62,Computer Science,Databases,nat,"Consider a database of ﬁxed-length records, stored as an ordered ﬁle. The database has 25,000 records, with each record being 100 bytes, of which the primary key occupies 15 bytes. The data ﬁle is block-aligned in that each data record is fully contained within a block. The database is indexed by a primary index ﬁle, which is also stored as a block-aligned ordered ﬁle. The ﬁgure below depicts this indexing scheme. Data File Primary Key (15 Bytes) Other Fields (85 Bytes) Index File Block Anchor Block Primary Key Pointer Suppose the block size of the ﬁle system is 1024 bytes, and a pointer to a block occupies 5 bytes. The system uses binary search on the index ﬁle to search for a record with a given key. You may assume that a binary search on an index ﬁle of b blocks takes log2 b block accesses in the worst case. Given a key, the number of block accesses required to identify the block in the data ﬁle that may contain a record with the key, in the worst case, is",,,,,,6.0,0.0,Hard,2023,2,PYQ;GATE 2023,,,yes,garbled_math_symbols;topic_low_confidence
63,Computer Science,Theory of Computation,nat,"Consider the language L over the alphabet {0, 1}, given below: L = {w ∈ {0, 1}∗ | w does not contain three or more consecutive 1’s}. The minimum number of states in a Deterministic Finite-State Automaton (DFA) for L is",,,,,,4.0,0.0,Hard,2023,2,PYQ;GATE 2023,,,,
64,Computer Science,Computer Organization and Architecture,nat,"An 8-way set associative cache of size 64 KB (1 KB = 1024 bytes) is used in a system with 32-bit address. The address is sub-divided into TAG, INDEX, and BLOCK OFFSET. The number of bits in the TAG is",,,,,,19.0,0.0,Hard,2023,2,PYQ;GATE 2023,,,,
65,Computer Science,Computer Networks,nat,The forwarding table of a router is shown below. Subnet Number 200.150.0.0 200.150.64.0 200.150.68.0 200.150.68.64 Default Subnet Mask 255.255.0.0 255.255.224.0 255.255.255.0 255.255.255.224 Interface ID 1 2 3 4 0 A packet addressed to a destination address 200.150.68.118 arrives at the router. It will be forwarded to the interface with ID,,,,,,3.0,0.0,Medium,2023,2,PYQ;GATE 2023,,,yes,possible_flattened_table
66,General Aptitude,General Aptitude,mcq,Ravi had ______ younger brother who taught at ______ university. He was widely regarded as ______ honorable man. Select the option with the correct sequence of articles to fill in the blanks.,a; a; an,the; an; a,a; an; a,an; an; a,A,,,Easy,2025,1,PYQ;GATE 2025,,,,
67,General Aptitude,General Aptitude,mcq,"The CEO's decision to downsize the workforce was considered myopic because it sacrificed long-term stability to accommodate short-term gains. Select the most appropriate option that can replace the word ""myopic"" without changing the meaning of the sentence.",visionary,shortsighted,progressive,innovative,B,,,Easy,2025,1,PYQ;GATE 2025,,,,
68,General Aptitude,General Aptitude,mcq,"The average marks obtained by a class in an examination were calculated as 30.8. However, while checking the marks entered, the teacher found that the marks of one student were entered incorrectly as 24 instead of 42. After correcting the marks, the average becomes 31.4. How many students does the class have?",25,28,30,32,C,,,Medium,2025,1,PYQ;GATE 2025,,,,
69,General Aptitude,General Aptitude,mcq,"Consider the relationships among P, Q, R, S, and T: P is the brother of Q. S is the daughter of Q. T is the sister of S. R is the mother of Q. The following statements are made based on the relationships given above: (1) R is the grandmother of S. (2) P is the uncle of S and T. (3) R has only one son. (4) Q has only one daughter. Which one of the following options is correct?",Both (1) and (2) are true.,Both (1) and (3) are true.,Only (3) is true.,Only (4) is true.,A,,,Medium,2025,1,PYQ;GATE 2025,,,,
70,General Aptitude,General Aptitude,mcq,"According to the map shown in the figure (a campus layout with Library, Physics Lab, Hostels, Classrooms on the west side of 1st Main Road, and Canteen, Hospital, Chemistry Lab on the east side, separated by 5th Cross Road, with north oriented up), which one of the following statements is correct? Note: The figure shown is representative.",The library is located to the northwest of the canteen.,The hospital is located to the east of the chemistry lab.,The chemistry lab is to the southeast of physics lab.,The classrooms and canteen are next to each other.,C,,,Easy,2025,1,PYQ;GATE 2025,,,,
71,General Aptitude,General Aptitude,mcq,"""I put the brown paper in my pocket along with the chalks, and possibly other things. I suppose every one must have reflected how primeval and how poetical are the things that one carries in one's pocket: the pocket-knife, for instance the type of all human tools, the infant of the sword. Once I planned to write a book of poems entirely about the things in my pocket. But I found it would be too long: and the age of the great epics is past."" (From G.K. Chesterton's ""A Piece of Chalk"") Based only on the information provided in the above passage, which one of the following statements is true?",The author of the passage carries a mirror in his pocket to reflect upon things.,The author of the passage had decided to write a poem on epics.,The pocket-knife is described as the infant of the sword.,Epics are described as too inconvenient to write.,C,,,Medium,2025,2,PYQ;GATE 2025,,,,
72,General Aptitude,General Aptitude,mcq,"In the diagram, the lines QR and ST are parallel to each other (S and T lie on sides PQ and PR of triangle PQR respectively, forming trapezium SQRT). The shortest distance between these two lines is half the shortest distance between the point P and line QR. What is the ratio of the area of the triangle PST to the area of the trapezium SQRT? Note: The figure shown is representative.",1/3,1/4,2/5,1/2,A,,,Medium,2025,2,PYQ;GATE 2025,,,,
73,General Aptitude,General Aptitude,mcq,"A fair six-faced dice, with the faces labelled '1', '2', '3', '4', '5', and '6', is rolled thrice. What is the probability of rolling '6' exactly once?",75/216,1/6,1/18,25/216,A,,,Medium,2025,2,PYQ;GATE 2025,,,,
74,General Aptitude,General Aptitude,mcq,"A square paper, shown in figure (I), is folded along the dotted lines as shown in the figures (II) and (III). Then a few cuts are made as shown in figure (IV). Which one of the following patterns will be obtained when the paper is unfolded? Note: The figures shown are representative.",Pattern with solid squares at top-left and bottom-right corners and arrow/corner marks at midpoints of each side (option A),Pattern with diamond shapes at top-left and bottom-right corners and arrow/corner marks at midpoints of each side (option B),Pattern similar to (A) but with squares shifted position (option C),Pattern with a single solid square and fewer corner marks (option D),A,,,Hard,2025,2,PYQ;GATE 2025,,,,
75,General Aptitude,General Aptitude,mcq,"A shop has 4 distinct flavors of ice-cream. One can purchase any number of scoops of any flavor. The order in which the scoops are purchased is inconsequential. If one wants to purchase 3 scoops of ice-cream, in how many ways can one make that purchase?",4,20,24,48,B,,,Medium,2025,2,PYQ;GATE 2025,,,,
76,Computer Science,Computer Organization and Architecture,mcq,Suppose a program is running on a non-pipelined single processor computer system. The computer is connected to an external device that can interrupt the processor asynchronously. The processor needs to execute the interrupt service routine (ISR) to serve this interrupt. The following steps (not necessarily in order) are taken by the processor when the interrupt arrives: (i) The processor saves the content of the program counter. (ii) The program counter is loaded with the start address of the ISR. (iii) The processor finishes the present instruction. Which ONE of the following is the CORRECT sequence of steps?,"(iii), (i), (ii)","(i), (iii), (ii)","(i), (ii), (iii)","(iii), (ii), (i)",A,,,Easy,2025,1,PYQ;GATE 2025,,,,
77,Computer Science,Compiler Design,mcq,Which ONE of the following statements is FALSE regarding the symbol table?,Symbol table is responsible for keeping track of the scope of variables.,Symbol table can be implemented using a binary search tree.,Symbol table is not required after the parsing phase.,Symbol table is created during the lexical analysis phase.,C,,,Medium,2025,1,PYQ;GATE 2025,,,,
78,Computer Science,Compiler Design,mcq,Which ONE of the following techniques used in compiler code optimization uses live variable analysis?,Run-time function call management,Register assignment to variables,Strength reduction,Constant folding,B,,,Medium,2025,1,PYQ;GATE 2025,,,,
79,Computer Science,Operating System,mcq,"Consider a demand paging memory management system with 32-bit logical address, 20-bit physical address, and page size of 2048 bytes. Assuming that the memory is byte addressable, what is the maximum number of entries in the page table?",2^21,2^20,2^22,2^24,A,,,Medium,2025,1,PYQ;GATE 2025,,,,
80,Computer Science,Databases,mcq,"A schedule of three database transactions T1, T2, and T3 is shown. Ri(A) and Wi(A) denote read and write of data item A by transaction Ti, i = 1,2,3. The transaction T1 aborts at the end. Which other transaction(s) will be required to be rolled back? Schedule: R1(X) W1(Y) R2(X) R2(Y) R3(Y) ABORT(T1)",Only T2,Only T3,Both T2 and T3,Neither T2 nor T3,C,,,Medium,2025,1,PYQ;GATE 2025,,,,
81,Computer Science,Computer Networks,mcq,Identify the ONE CORRECT matching between the OSI layers and their corresponding functionalities as shown. OSI Layers: (a) Network layer (b) Transport layer (c) Datalink layer. Functionalities: (I) Packet routing (II) Framing and error handling (III) Host to host communication,"(a)-(I), (b)-(II), (c)-(III)","(a)-(I), (b)-(III), (c)-(II)","(a)-(II), (b)-(I), (c)-(III)","(a)-(III), (b)-(II), (c)-(I)",B,,,Easy,2025,1,PYQ;GATE 2025,,,,
82,Computer Science,Engineering Mathematics,mcq,"g(.) is a function from A to B, f(.) is a function from B to C, and their composition defined as f(g(.)) is a mapping from A to C. If f(.) and f(g(.)) are onto (surjective) functions, which ONE of the following is TRUE about the function g(.)?",g(.) must be an onto (surjective) function.,g(.) must be a one-to-one (injective) function.,"g(.) must be a bijective function, that is, both one-to-one and onto.",g(.) is not required to be a one-to-one or onto function.,D,,,Medium,2025,1,PYQ;GATE 2025,,,,
83,Computer Science,Algorithms,mcq,"Let G be any undirected graph with positive edge weights, and T be a minimum spanning tree of G. For any two vertices, u and v, let d1(u,v) and d2(u,v) be the shortest distances between u and v in G and T, respectively. Which ONE of the options is CORRECT for all possible G, T, u and v?","d1(u,v) = d2(u,v)","d1(u,v) <= d2(u,v)","d1(u,v) >= d2(u,v)","d1(u,v) != d2(u,v)",B,,,Easy,2025,1,PYQ;GATE 2025,,,,
84,Computer Science,Theory of Computation,mcq,"Consider the following context-free grammar G, where S, A, and B are the variables (non-terminals), a and b are the terminal symbols, S is the start variable, and the rules of G are described as: S -> aaB | Abb, A -> a | aA, B -> b | bB. Which ONE of the languages L(G) is accepted by G?",L(G) = {a^2 b^n | n>=1} U {a^n b^2 | n>=1},L(G) = {a^n b^2n | n>=1} U {a^2n b^n | n>=1},L(G) = {a^n b^n | n>=1},L(G) = {a^2n b^2n | n>=1},A,,,Medium,2025,1,PYQ;GATE 2025,,,,
